Designator,Footprint,Quantity,Value,LCSC Part #
BUZZER1,BUZ-SMD_L9.6-W9.6-LS10.0-R,1,FST-9650B-3V,C391032
"C1, C30, C31, C32",0402,4,1uF,
"C10, C2, C33, C4, C5, C7, C8, C9",0603,8,10uF,
"C11, C12, C14, C17, C18",0805,5,22uF,
"C13, C16, C19, C20, C21, C22, C24, C25, C26, C27, C28, C29, C38, C40",0402,14,0.1uF,
"C15, C23",0402,2,2.2uF,
C3,0805,1,44uF,
"C34, C35",0402,2,20pF,
"C36, C37",0402,2,6.8pF,
C39,0603,1,4.7uF,
C6,0402,1,47nF,
CARD1,TF-SMD_TF-01A,1,TF-01A,C91145
"D1, D2, D3, D4",0603,4,LED,
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_16P,
J2,TerminalBlock_Xinya_XY308-2.54-2P_1x02_P2.54mm_Horizontal,1,Screw_Terminal_01x02,
"J3, J4, J5",PinHeader_1x03_P2.54mm_Vertical,3,Conn_01x03,
L1,IND-SMD_L4.0-W4.0-A,1,XFL4020-152MEC,C3033018
L2,IND-SMD_L3.0-W3.0,1,YHNR3015-5R6M,C18236327
L4,L0603,1,FCM1608KF-601T03,C141723
L5,L2520,1,DFE252012F-1R0M=P2,C435392
"R1, R2",0402,2,5.1K,
"R10, R11, R12, R13, R14, R18, R19, R20, R21, R22, R4, R7, R8, R9",0402,14,10K,
"R15, R16",0402,2,100K,
R17,0402,1,22.1K,
"R23, R24, R25",0402,3,39,
R3,0402,1,383,
R5,0402,1,5.23K,
R6,0402,1,30.1K,
"SW1, SW2, SW3, SW4",SW-SMD_L3.9-W3.0-P4.45,4,TS-1088-AR02016,C720477
U1,LGA-10_L2.0-W2.0-P0.50-TL_BMP580,1,BMP580,C22391138
U2,VFQFPN-24_L4.0-W4.0-P0.50-BL-EP2.8,1,BQ25883RGER,C544362
U3,LGA-14_L3.0-W2.5-P0.50-TL,1,ICM-45686,C22459454
U4,VQFN-15_L3.0-W2.5-P0.50-BL,1,TPS63070RNMR,C109322
U5,LQFP-64_10x10mm_P0.5mm,1,STM32F722RETx,
U6,SOT-23-6,1,LMR51430,
U7,LGA-16_L3.0-W3.0-P0.50-BL_SQ,1,QMC5883P,C2847467
X1,CRYSTAL-SMD_4P-L3.2-W2.5-BL,1,X322525MOB4SI,C9006
X2,FC-135R_L3.2-W1.5,1,Q13FC1350000400,C32346
