Designator,Mid X,Mid Y,Rotation,Layer
BUZZER1,191.8,-100.0,180.0,top
C1,160.9,-94.6,180.0,top
C10,158.6,-88.9,90.0,top
C11,161.2,-88.4,0.0,top
C12,159.7,-84.3,0.0,top
C13,156.49,-89.7,0.0,top
C14,159.7,-86.3,0.0,top
C15,185.7,-91.4,0.0,top
C16,183.5,-89.3,180.0,top
C17,182.7,-87.4,180.0,top
C18,182.7,-85.4,180.0,top
C19,151.2,-101.4,90.0,top
C2,163.85,-88.54,90.0,top
C20,150.7,-102.9,0.0,top
C21,173.44,-82.45,180.0,top
C22,175.44,-82.45,180.0,top
C23,169.975,-67.55,0.0,top
C24,169.475,-66.45,180.0,top
C25,152.475,-65.75,0.0,top
C26,161.975,-57.35,270.0,top
C27,163.855,-73.85,180.0,top
C28,161.875,-73.75,0.0,top
C29,152.475,-66.85,0.0,top
C3,167.25,-96.84,270.0,top
C30,160.375,-74.15,90.0,top
C31,169.675,-65.35,180.0,top
C32,160.875,-57.15,270.0,top
C33,159.1,-74.825,90.0,top
C34,153.01,-80.25,0.0,top
C35,152.93,-74.65,0.0,top
C36,152.775,-68.2,0.0,top
C37,152.875,-73.25,180.0,top
C38,191.68,-82.0,0.0,top
C39,151.75,-94.06,0.0,top
C4,166.2,-102.4,0.0,top
C40,151.35,-99.06,0.0,top
C5,167.05,-100.14,270.0,top
C6,167.15,-94.54,0.0,top
C7,151.2,-86.5,180.0,top
C8,151.2,-88.0,180.0,top
C9,151.2,-89.5,180.0,top
CARD1,189.4,-65.2875,180.0,top
D1,158.05,-96.84,180.0,top
D2,193.8,-85.4875,90.0,top
D3,195.4,-85.5,90.0,top
D4,197.0,-85.5,90.0,top
J1,176.0,-57.8,180.0,top
J2,171.7325,-101.935,270.0,top
J3,184.4,-100.96,180.0,top
J4,180.78,-100.96,180.0,top
J5,177.18,-100.96,180.0,top
L1,155.7,-83.1,180.0,top
L2,186.5,-87.6,270.0,top
L4,156.2,-72.2,0.0,top
L5,165.15,-91.54,0.0,top
R1,174.9,-63.66,180.0,top
R10,154.675,-60.95,180.0,top
R11,158.15,-98.24,180.0,top
R12,153.5,-89.69,270.0,top
R13,193.8,-72.3,90.0,top
R14,194.9,-72.3,270.0,top
R15,156.5,-90.7,0.0,top
R16,185.8,-93.5,0.0,top
R17,185.7,-92.4,180.0,top
R18,187.1,-72.3,270.0,top
R19,188.3,-72.3,270.0,top
R2,176.9,-63.66,0.0,top
R20,189.5,-72.3,270.0,top
R21,191.6,-72.3,270.0,top
R22,191.88,-75.3,180.0,top
R23,193.4,-83.0,90.0,top
R24,195.2,-83.0,90.0,top
R25,197.3,-83.0,90.0,top
R3,163.1,-102.13,270.0,top
R4,164.2,-102.14,90.0,top
R5,162.0,-102.14,270.0,top
R6,160.9,-102.14,90.0,top
R7,159.8,-102.14,90.0,top
R8,158.05,-95.44,0.0,top
R9,155.075,-59.85,0.0,top
SW1,195.0,-80.3,180.0,top
SW2,195.0,-77.0,180.0,top
SW3,195.0,-93.0,0.0,top
SW4,195.0,-89.7,0.0,top
U1,153.1,-102.9,0.0,top
U2,163.1,-97.74,270.0,top
U3,173.3,-80.3,0.0,top
U4,155.6,-87.16,0.0,top
U5,161.2,-65.6,315.0,top
U6,182.655,-91.615,180.0,top
U7,152.3,-96.5,0.0,top
X1,153.025,-77.55,270.0,top
X2,152.875,-70.7,270.0,top
